Date,Open,High,Low,Close,Volume
12/23/2024,62.50,62.76,61.53,62.38,"13,010,760"
12/20/2024,62.47,63.06,62.28,62.55,"42,458,102"
12/19/2024,62.70,63.17,62.40,62.45,"21,300,650"
12/18/2024,62.81,63.64,62.79,62.85,"20,946,090"
12/17/2024,62.45,63.55,62.32,63.40,"21,902,381"
12/16/2024,63.23,63.86,62.35,62.55,"24,559,740"
12/13/2024,63.57,63.84,63.11,63.12,"13,429,030"
12/12/2024,63.55,63.92,63.22,63.84,"17,542,090"
12/11/2024,63.00,63.63,62.40,62.64,"32,819,012"
12/10/2024,62.70,63.04,61.79,62.91,"14,949,420"
12/9/2024,62.69,62.93,61.90,62.60,"22,348,330"
12/6/2024,62.83,63.36,62.51,62.53,"15,581,150"
12/5/2024,62.47,63.12,62.10,62.92,"21,040,359"
12/4/2024,63.28,63.35,61.90,62.21,"28,137,660"
12/3/2024,63.72,64.08,63.03,63.52,"24,874,490"
12/2/2024,64.05,64.19,63.35,63.65,"16,500,100"
11/29/2024,64.02,64.25,63.77,64.08,"10,648,350"
11/27/2024,64.96,65.10,64.25,64.43,"13,263,400"
11/26/2024,64.31,64.64,64.06,64.55,"14,473,270"
11/25/2024,64.32,64.71,63.84,64.38,"36,805,246"
11/22/2024,64.24,64.48,63.65,63.92,"19,562,230"
11/21/2024,63.15,63.81,62.95,63.76,"17,292,301"
11/20/2024,62.70,63.01,62.02,62.99,"18,904,910"
11/19/2024,61.90,62.62,61.63,62.59,"16,254,830"
11/18/2024,61.85,62.14,61.56,61.86,"16,079,360"
11/15/2024,62.49,62.63,61.39,61.74,"26,284,330"
11/14/2024,63.11,63.11,62.43,62.55,"15,910,820"
11/13/2024,63.05,63.26,62.49,63.00,"13,177,640"
11/12/2024,63.68,63.75,63.12,63.20,"15,020,980"
11/11/2024,63.99,64.12,63.25,63.36,"13,980,870"
11/8/2024,63.91,64.24,63.74,63.92,"14,719,310"
11/7/2024,64.29,64.39,63.60,63.66,"14,856,050"
11/6/2024,64.42,64.86,63.18,63.70,"22,899,260"
11/5/2024,64.64,65.47,64.64,65.37,"8,780,220"
11/4/2024,65.08,65.42,64.65,65.11,"10,984,500"
11/1/2024,65.47,65.66,64.89,65.01,"12,163,090"
10/31/2024,65.81,65.99,65.26,65.31,"13,383,720"
10/30/2024,65.51,66.54,65.32,65.92,"14,177,770"
10/29/2024,66.29,66.34,65.52,65.56,"16,525,920"
10/28/2024,66.96,67.40,66.60,66.67,"10,761,420"
10/25/2024,67.07,67.70,66.79,66.92,"11,138,130"
10/24/2024,67.65,68.04,66.95,67.30,"17,568,830"
10/23/2024,66.99,68.70,66.58,68.01,"24,655,199"
10/22/2024,69.00,69.75,68.68,69.45,"18,603,250"
10/21/2024,70.00,70.33,69.31,69.45,"11,981,160"
10/18/2024,69.87,70.55,69.61,70.44,"15,087,520"
10/17/2024,70.63,70.69,69.58,69.90,"14,674,630"
10/16/2024,70.09,70.70,69.97,70.57,"7,937,347"
10/15/2024,70.46,71.21,70.16,70.34,"10,358,730"
10/14/2024,69.57,70.47,69.47,70.34,"7,659,318"
10/11/2024,69.46,69.59,69.00,69.57,"8,786,318"
10/10/2024,69.83,69.91,68.99,69.25,"8,635,150"
10/9/2024,69.19,69.74,69.07,69.57,"9,037,735"
10/8/2024,69.04,69.44,68.86,69.18,"13,549,700"
10/7/2024,70.05,70.10,68.87,69.01,"14,511,960"
10/4/2024,69.96,70.28,69.72,70.17,"12,687,290"
10/3/2024,70.86,70.99,70.20,70.52,"9,374,794"
10/2/2024,71.39,71.43,70.41,71.01,"11,155,480"
10/1/2024,72.10,72.75,71.63,71.71,"13,294,500"
9/30/2024,72.00,72.20,71.69,71.86,"18,016,010"
9/27/2024,71.54,72.20,71.46,71.79,"11,175,710"
9/26/2024,70.86,71.61,70.84,71.40,"10,815,220"
9/25/2024,71.71,71.92,71.31,71.45,"12,329,130"
9/24/2024,71.22,71.82,70.60,71.33,"13,330,640"
9/23/2024,71.55,72.20,71.18,71.73,"11,613,020"
9/20/2024,70.41,71.80,70.38,71.64,"48,578,480"
9/19/2024,71.56,71.94,70.60,70.62,"13,635,650"
9/18/2024,71.89,72.38,71.27,71.75,"10,719,710"
9/17/2024,71.90,72.35,71.73,71.80,"12,974,380"
9/16/2024,71.77,72.24,71.62,72.10,"10,786,530"
9/13/2024,70.84,71.47,70.48,71.41,"11,073,850"
9/12/2024,71.00,71.38,70.66,71.23,"12,340,780"
9/11/2024,71.36,71.37,70.57,71.08,"11,418,230"
9/10/2024,71.97,72.42,71.52,71.55,"10,277,590"
9/9/2024,71.23,72.31,70.98,71.85,"12,939,260"
9/6/2024,70.99,71.67,70.89,71.14,"17,485,711"
