Date,Open,High,Low,Close,Volume
9/27/2024,228.46,229.52,227.30,227.79,34025969.00
9/26/2024,227.30,228.50,225.41,227.52,36636711.00
9/25/2024,224.93,227.29,224.02,226.37,42308719.00
9/24/2024,228.65,229.35,225.73,227.37,43556070.00
9/23/2024,227.34,229.45,225.81,226.47,54146020.00
9/20/2024,229.97,233.09,227.62,228.20,318679906.00
9/19/2024,224.99,229.82,224.63,228.87,66781320.00
9/18/2024,217.55,222.71,217.54,220.69,59894930.00
9/17/2024,215.75,216.90,214.50,216.79,45519340.00
9/16/2024,216.54,217.22,213.92,216.32,59357434.00
9/13/2024,223.58,224.04,221.91,222.50,36766621.00
9/12/2024,222.50,223.55,219.82,222.77,37498230.00
9/11/2024,221.46,223.09,217.89,222.66,44587070.00
9/10/2024,218.92,221.48,216.73,220.11,51591031.00
9/9/2024,220.82,221.27,216.71,220.91,67179969.00
9/6/2024,223.95,225.24,219.77,220.82,48423008.00
9/5/2024,221.63,225.48,221.52,222.38,36615398.00
9/4/2024,221.66,221.78,217.48,220.85,43840199.00
9/3/2024,228.55,229.00,221.17,222.77,50087200.00
8/30/2024,230.19,230.40,227.48,229.00,52990770.00
8/29/2024,230.10,232.92,228.88,229.79,51906301.00
8/28/2024,227.92,229.86,225.68,226.49,38052168.00
8/27/2024,226.00,228.85,224.89,228.03,35934559.00
8/26/2024,226.76,227.28,223.89,227.18,30602211.00
8/23/2024,225.66,228.22,224.33,226.84,38677246.00
8/22/2024,227.79,228.34,223.90,224.53,43695320.00
8/21/2024,226.52,227.98,225.05,226.40,34765480.00
8/20/2024,225.77,227.17,225.45,226.51,30299029.00
8/19/2024,225.72,225.99,223.04,225.89,40687809.00
8/16/2024,223.92,226.83,223.65,226.05,44340238.00
8/15/2024,224.60,225.35,222.76,224.72,46414008.00
8/14/2024,220.57,223.03,219.70,221.72,41960566.00
8/13/2024,219.01,221.89,219.01,221.27,44155328.00
8/12/2024,216.07,219.51,215.60,217.53,38028090.00
8/9/2024,212.10,216.78,211.97,216.24,42201648.00
8/8/2024,213.11,214.20,208.83,213.31,47161152.00
8/7/2024,206.90,213.64,206.39,209.82,63516422.00
8/6/2024,205.30,209.99,201.07,207.23,69660484.00
8/5/2024,199.09,213.50,196.00,209.27,119548602.00
8/2/2024,219.15,225.60,217.71,219.86,105568602.00
8/1/2024,224.37,224.48,217.02,218.36,62501000.00
7/31/2024,221.44,223.82,220.63,222.08,50036262.00
7/30/2024,219.19,220.33,216.12,218.80,41643840.00
7/29/2024,216.96,219.30,215.75,218.24,36311781.00
7/26/2024,218.70,219.49,216.01,217.96,41601352.00
7/25/2024,218.93,220.85,214.62,217.49,51391199.00
7/24/2024,224.00,224.80,217.13,218.54,61777578.00
7/23/2024,224.37,226.94,222.68,225.01,39960262.00
7/22/2024,227.01,227.78,223.09,223.96,48201840.00
7/19/2024,224.82,226.80,223.28,224.31,49151449.00
7/18/2024,230.28,230.44,222.27,224.18,66034594.00
7/17/2024,229.45,231.46,226.64,228.88,57345879.00
7/16/2024,235.00,236.27,232.33,234.82,43234281.00
7/15/2024,236.48,237.23,233.09,234.40,62631246.00
7/12/2024,228.92,232.64,228.68,230.54,53046527.00
7/11/2024,231.39,232.39,225.77,227.57,64710621.00
7/10/2024,229.30,233.08,229.25,232.98,62627688.00
7/9/2024,227.93,229.40,226.37,228.68,48169820.00
7/8/2024,227.09,227.85,223.25,227.82,59085859.00
7/5/2024,221.65,226.45,221.65,226.34,60412406.00
7/3/2024,220.00,221.55,219.03,221.55,37369801.00
7/2/2024,216.15,220.38,215.10,220.27,58046180.00
7/1/2024,212.09,217.51,211.92,216.75,60402930.00
6/28/2024,215.77,216.07,210.30,210.62,82542719.00
6/27/2024,214.69,215.74,212.35,214.10,49772711.00
6/26/2024,211.50,214.86,210.64,213.25,66213195.00
6/25/2024,209.15,211.38,208.61,209.07,56713871.00
6/24/2024,207.72,212.70,206.59,208.14,80727008.00
6/21/2024,210.39,211.89,207.11,207.49,246421406.00
6/20/2024,213.93,214.24,208.85,209.68,86172445.00
6/18/2024,217.59,218.63,213.00,214.29,79943250.00
6/17/2024,213.37,218.95,212.72,216.67,93728305.00
